什麼是A型肝炎？,A型肝炎是由A型肝炎病毒感染所造成的急性肝臟發炎
新生兒破傷風疫苗有哪些廠牌,目前台灣進口疫苗製造廠或代理商有賽諾菲股份有限公司、荷商葛蘭素史克藥廠股份有限公司台灣分公司。
該接種幾劑？,成人若距離最後一次破傷風疫苗接種超過 10 年，建議每10 年追加1 劑Td或Tdap。
新生兒破傷風疫苗保護力可以持續多久？,完成破傷風類毒素接種所產生之主動免疫力持續至少10年，而暫時性之被動免疫可經由注射破傷風免疫球蛋白（Tetanus immune globulin， TIG）而得。
接種後或投藥後要注意什麼,白喉、破傷風、非細胞性百日咳、b型嗜血桿菌及不活化小兒麻痺五合一疫苗不建議用於超過7歲的孩童或成人，因所含白喉類毒素及百日咳抗原的量可能引起較大局部反應、發燒與不適。
這是接種的副作用嗎？,接種後1-3天可能發生注射部位紅腫、酸痛，偶爾有哭鬧不安、疲倦、食慾不振或嘔吐等症狀，通常2-3天後會恢復。
疑似感染新生兒破傷風了怎麼辦？,如出現任何疑似症狀，應儘速就醫，並告知醫師嬰兒出生後臍帶護理情形，或有任何傷口有被土壤、塵土或動物及人類糞便污染，或生鏽器具割傷之狀況。
罹患新生兒破傷風有需要隔離？,不需要。
我需要作新生兒破傷風篩檢嗎？,不需要。
疑似罹患新生兒破傷風要去哪裡就醫？,應立即至大醫院急診就醫，並告知醫師嬰兒出生後臍帶護理情形，或有任何傷口有被土壤、塵土或動物及人類糞便污染，或生鏽器具割傷之狀況。
新生兒破傷風要怎麼治療？,破傷風免疫球蛋白或破傷風抗毒素。
接種疫苗可能發生的反應？應該怎麼處理？,如接種部位紅腫、硬塊不退、接種後持續高燒或發生嚴重過敏反應及不適症狀，應儘速請醫師處理。
什麼是腸病毒？,腸病毒指的是一群病毒，包含小兒麻痺病毒、克沙奇病毒、伊科病毒及腸病毒等種類，每一個種類還可分為多種型別
腸病毒會有什麼症狀？,腸病毒可以引發多種疾病，其中很多是沒有症狀的感染，或只出現類似一般感冒的輕微症狀，部分病人在口腔、手掌、腳掌會出現水泡、潰瘍，可能合併發燒。絕大部分病人在7-10天內就會自然痊癒，只有極少數的病患會併發嚴重症狀。
罹患腸病毒的嚴重性？,絕大部分病人在7-10天內就會自然痊癒，只有極少數的病患會併發嚴重症狀，如無菌性腦膜炎、心肌炎、肢體麻痺、肝炎、腦炎、新生兒敗血症、心肺衰竭等，最後可能導致死亡或後遺症。
腸病毒有什麼危險徵兆,嬰幼兒得了腸病毒後的一週內，要特別注意觀察是否出現持續發燒、嗜睡、意識不清、活力不佳、手腳無力、肌躍型抽搐（無故驚嚇或突然間全身肌肉收縮）、持續嘔吐與呼吸急促或心跳加快等症狀
腸病毒有什麼併發症,絕大多數的病人會在發病後7到10天內自行痊癒，只有極少數的病人會出現嚴重併發症，如無菌性腦膜炎、心肌炎、肢體麻痺、肝炎、腦炎、新生兒敗血症等，甚至導致心肺衰竭。
腸病毒有哪些高風險族群,5歲以下嬰幼兒的免疫系統尚未發展完全，是腸病毒感染併發重症的高危險族群。
腸病毒傳染途徑為何？,人類是腸病毒唯一的傳染來源，主要經由腸胃道（糞-口、水或食物污染）或呼吸道（飛沫、咳嗽或打噴嚏）傳染，亦可經由接觸病人皮膚水泡的液體而受到感染，
腸病毒潛伏期和可傳染期,腸病毒潛伏期為2到10天，平均約3到5天。
腸病毒的國內流行期,台灣氣候溫暖潮濕，適合腸病毒生存，全年都有輕症個案，其中以4到9月為主要流行季。
腸病毒流行地區有哪些,世界各地都有，通常在夏季、初秋流行
如何預防腸病毒,目前腸病毒中，除了小兒麻痺病毒外，國內無疫苗可供預防，民眾應定期進行環境清潔，時常清洗消毒兒童常接觸之物品及玩具，及教導兒童做好個人衛生，落實溼、搓、沖、捧、擦正確洗手步驟。
接種腸病毒疫苗需要額外付費嗎？,腸病毒目前沒有疫苗可以預防，建議你事先做好防護措施來保護自己！
我想了解腸病毒疫苗或預防藥品,目前尚無特定核准之有效疫苗或藥物。
疑似感染腸病毒了怎麼辦？,若幼童有疑似感染腸病毒（口腔出現小水泡或潰瘍，手腳及臀部周圍出現頂端帶有水泡的小紅疹）時，建議至住家附近診所就醫、遵循醫師指示休養，並持續留意其病情變化。
罹患腸病毒要注意什麼？,當幼童疑似感染腸病毒時，應立即就醫，遵照醫師建議在家休息，並與其他嬰幼兒及孕婦適度區隔，多補充水分，食用流質、涼、軟的食物，生病期間避免出入公共場所，以降低病毒傳播機會。
罹患腸病毒有需要隔離？,腸病毒病人應遵照醫師建議在家休息，並與其他嬰幼兒急孕婦適度區隔及避免出入公共場所，以降低病毒傳播機會。
罹患腸病毒可以上班上課？,為降低傳播機率及在家多多休養，腸病毒病童應落實「生病不上學」，若病童無法請假，則建議載口罩上課，並與健康的幼學童適度區隔。
疑似罹患腸病毒要去哪裡就醫？,若幼童有疑似感染腸病毒（口腔出現小水泡或潰瘍，手腳及臀部周圍出現頂端帶有水泡的小紅疹）時，建議至住家附近診所就醫
腸病毒要怎麼治療？,目前並無特殊之治療方法，大多給予支持性療法 ，絕大部分病人在7-10天內就會自然痊癒。
什麼是水痘？,水痘併發症是一種由水痘-帶狀疱疹病毒（Herpesvirus 3， Varicella-Zoster virus）所引起且產生嚴重併發症的疾病。
水痘會有什麼症狀？,症狀會有急性發作，且出現符合水痘表現的皮疹，並發生繼發性細菌感染、肺炎等併發症。
罹患水痘的嚴重性？,水痘併發症的致死原因，在成人以原發性肺炎，小孩以敗血症和腦炎最常見。對於某些特殊的患者，如白血病孩童和新生兒，則致死率高達5％至10％。
水痘有什麼併發症,水痘併發症包含繼發性細菌感染（例如蜂窩組織炎、壞死性筋膜炎、敗血症、中毒性休克徵候群）、肺炎、腦炎、小腦性共濟失調、雷氏綜合症候群(Reye’s Syndrome)及死亡等。
水痘有哪些高風險族群,小於1歲之嬰兒、孕婦、成人及免疫缺陷者（例：患有嚴重疾病如癌症、免疫缺陷與不全者、正使用免疫抑制劑如類固醇者）若罹患水痘為水痘併發症之高危險群。
水痘傳染途徑為何？,水痘主要是經由皮膚直接接觸、飛沫或空氣傳染，接觸到得帶狀疱疹患者之水疱，也可以造成傳染。此外，也可被經由被水疱液和黏膜分泌物污染的器物間接傳染。
水痘潛伏期和可傳染期,潛伏期：10-21天，一般為14-16天。
水痘的國內流行期,好發於冬季及早春。
水痘流行地區有哪些,水痘全世界都有發生，感染者主要是兒童
如何預防水痘,接種水痘疫苗為預防感染水痘之重要方法。
除了接種或投藥外的水痘預防方法,保持室內空氣流通、避免進出人潮擁擠之密閉空間。養成良好的衛生習慣，並遵循呼吸道衛生與咳嗽禮節，均是預防感染水痘的方法。
何時需要進行水痘的預防接種或投藥,自2004年1月1日起，政府提供2003年1月以後出生且年滿12個月以上的幼兒免費接種乙劑水痘疫苗。
我可以公費接種或投藥嗎？,自2004年1月1日起，若是2003年1月以後出生且年滿12個月以上的幼兒均可公費接種。
接種水痘疫苗該帶什麼證件？,進行兒童常規接種時，請攜帶您與寶寶的身分證明文件，以及寶寶的兒童健康手冊(內含預防接種紀錄卡)。
接種前要經過醫師評估？,接種水痘疫苗之前，需要經過醫師評估是否適宜接種。
需要額外付費嗎？,若屬公費對象，則不需額外負擔疫苗費用。
我現在適合接種水痘疫苗嗎？,１、若是2003年1月以後出生且年滿12個月以上的幼兒可公費接種。
我想了解水痘疫苗或預防藥品,曾施打過疫苗者仍可能罹患水痘，接種疫苗42天後仍感染野生株水痘稱之為「疫苗失敗的感染」，其病程較短(4–6天)、水疱數約49顆以下且症狀表現溫和。
該接種幾劑？,"年滿12個月以上的幼兒接種公費一劑。
 若為其他自費接種對象，則可依年齡接種一至兩劑。"
水痘疫苗保護力可以持續多久？,曾施打過疫苗者仍可能罹患水痘，接種疫苗42天後仍感染野生株水痘稱之為「疫苗失敗的感染」，其病程較短(4–6天)、水疱數約49顆以下且症狀表現溫和。
疑似感染水痘了怎麼辦？,疑似感染水痘併發症應遵從醫囑進行治療。
罹患水痘要注意什麼？,應遵從醫師指示進行治療。出入公共場所時，並應戴口罩，及注意呼吸道衛生及咳嗽禮節。
罹患水痘有需要隔離？,若為住院，則應遵從醫師指示進行隔離治療。
罹患水痘可以上班上課？,若罹患水痘，建議應停止上班上課，直到水疱完全結痂變乾為止。
水痘要怎麼治療？,個案如出現水痘症狀請配戴口罩並穿著長袖衣儘速就醫，經醫師評估後，給予口服或靜脈注射抗病毒藥物（Acyclovir）治療，五天後即可解除隔離限制。
什麼是侵襲性肺炎鏈球菌感染症？,由肺炎鏈球菌引起之多種侵襲性疾病包含敗血症、肺炎、腦膜炎、關節炎、骨髓炎、心包膜炎、溶血性尿毒症、腹膜炎等均為侵襲性肺炎鏈球菌感染症。
侵襲性肺炎鏈球菌感染症會有什麼症狀？,由肺炎鏈球菌引起之敗血症、肺炎、腦膜炎、關節炎、骨髓炎，可能引起發燒、呼吸困難、活動力差、嘔吐、頭痛、嗜睡、咳嗽、呼吸急促、廣泛性腹痛、患部紅腫疼痛等症狀
罹患侵襲性肺炎鏈球菌感染症的嚴重性？,青黴素（penicillin）尚未發明之前，此菌引起肺炎之死亡率高達30～35%，1944年開始使用青黴素進行治療後，死亡率降至5～8%。
侵襲性肺炎鏈球菌感染症有什麼併發症,高危險族群感染肺炎鏈球菌可能引起之併發症包含敗血症、肺炎、腦膜炎、關節炎、骨髓炎、心包膜炎、溶血性尿毒症、腹膜炎等。
侵襲性肺炎鏈球菌感染症有哪些高風險族群,5歲以下嬰幼兒、65歲以上老年人、無脾症、HIV感染、糖尿病、肝硬化、慢性腎衰竭或慢性腎病、何杰金氏病（Hodgkin’s disease）等高危險族群。
侵襲性肺炎鏈球菌感染症傳染途徑為何？,可經由人與人之間直接接觸到帶菌的口鼻分泌物，或經由 吸入含有此病原菌之飛沫，通常需要長時間或密切接觸才可能遭受感染。
侵襲性肺炎鏈球菌感染症潛伏期和可傳染期,潛伏期變化極大，目前仍不清楚。可能很短，約 1～3 天。
侵襲性肺炎鏈球菌感染症的國內流行期,國內全年皆有病例，但發病高峰為冬季與春季。
侵襲性肺炎鏈球菌感染症流行地區有哪些,屬世界性分布，以冬季至春季為疾病發生之高峰期
如何預防侵襲性肺炎鏈球菌感染症,目前肺炎鏈球菌對部分抗生素已產生高抗藥性，因此預防侵襲性肺炎鏈球菌感染症最有效的方法就是按時接種肺炎鏈球菌疫苗。
除了接種或投藥外的侵襲性肺炎鏈球菌感染症預防方法,"1.均衡飲食、適度運動、充足睡眠，維持良好的個人及環境衞生。
 2.保持室內空氣流通，避免長期處於密閉空間內。
 3.避免到過度擁擠、通風不良的場所。"
何時需要進行侵襲性肺炎鏈球菌感染症的預防接種或投藥,我國自2015年起已將PCV13列入幼兒常規接種項目，採 2+1 之 3 劑接種時程，於出生滿 2 個月、4 個月及 12-15個月，共接種3劑。
我可以公費接種或投藥嗎？,我國自2015年起已將PCV13列入幼兒常規接種項目，採 2+1 之 3 劑接種時程，於出生滿 2 個月、4 個月及 12-15個月，共接種3劑。
接種侵襲性肺炎鏈球菌感染症疫苗該帶什麼證件？,進行兒童常規接種時，請攜帶您與寶寶的身分證明文件，以及寶寶的兒童健康手冊(內含預防接種紀錄卡)。
接種前要經過醫師評估？,均應由醫師了解接種者之年齡、健康情形、過敏史及醫療與用藥情況，以評估是否適宜接種疫苗。
需要額外付費嗎？,嬰幼兒接種本項疫苗是由政府免費提供，但衛生所及合約醫療院所可酌收掛號、診察等費用。
我現在適合接種侵襲性肺炎鏈球菌感染症疫苗嗎？,均應由醫師了解接種者之年齡、健康情形、過敏史及醫療與用藥情況，以評估是否適宜接種疫苗。
我想了解侵襲性肺炎鏈球菌感染症疫苗或預防藥品,"目前國內核准上市之肺炎鏈球菌疫苗有二大類，分別為結合型疫苗（ PCV13 ）及多醣體疫苗（ PPV23），皆屬不活化疫苗，可與其他疫苗分開不同部位
 同時接種。"
